Chocolate Croissants,"Ingredients : chocolate, pastry. Preheat your oven to 210°C (410°F). Roll out your puff pastry and spread chocolate spread on top of it. Then, cut the pastry into 6 triangle pieces. Add a chocolate piece on the largest side of...",Very easy,15 min
Strawberry wine,"Ingredients : sugar, strawberry, white wine. Mash the ripe strawberries then add wine and sugar. Stir and let stand for one day. Filter the wine and bottle it.",Very easy,10 min
Chocolate Truffles,"Ingredients : sugar, cocoa, dark chocolate, egg, butter, vanilla sugar. In a bow, melt the chocolate in a bain marie or in the microwave. Add the butter, cut into small pieces. Stir well until the butter is melted. Add the egg yolks,...",Very easy,30 min
Strawberry Cappuccino,"Ingredients : cream, mascarpone, sugar, whipping cream, strawberry, lemon, vanilla sugar. Wash the strawberries and remove the stalks. In a mixer, mix with powdered sugar and the lemon juice. Set aside in the fridge. In a large mixing bowl,...",Easy,30 min
Banana crumble,"Ingredients : sugar, flour, lemon juice, butter, brown sugar, banana, salt. Preheat the oven to 180°C (350°F). In a mixing bowl, combine the flour, the brown sugar and a pinch of salt. Add the soft butter with your finger without kneading the...",Easy,10 min
Strawberry Meringues,"Ingredients : cream, sugar, vanilla, almond, strawberry, egg. Preheat your oven to 220°C (430°C). Beat the egg whites and the sugar gradually to get a meringue mixture. Cover a baking tray with baking paper and oil it lightly. Pour the...",Easy,20 min
Banana Pancakes,"Ingredients : sugar, flour, milk, oil, egg, banana. Combine the flour, the egg, half of the sugar and the milk. Peel the bananas and mash them. Add the sugar. Mix. Add the bananas to the pancake batter. Stir. Cook the pancakes in an oiled...",Easy,5 min
Banana flambé,"Ingredients : sugar, vanilla, butter, rum, banana. Mix the sugar, butter and vanilla together, put this mixture in the slits of the bananas. Put the prepared bananas on a buttered baking sheet. Sprinkle 2 tablespoons of water and sugar on top....",Easy,N/A
Candy Cherry Tomato,"Ingredients : tomato, sugar, lemon juice, water. Heat the water with the sugar and lemon juice until it becomes a caramel. Insert a wooden stick in each cherry tomato and dip them in the caramel. Leave it to cool down on baking paper. Serve once...",Very easy,10 min
Lemon pie,"Ingredients : cream, sugar, flour, egg, butter, lemon, salt, water. Prepare the crust: In a terrine, combine the flour, the sugar and the salt. Make a hole and pour the melted butter (not very hot) and the cold water. Combine the flour with...",Very easy,2 h
Banana doughnut,"Ingredients : sugar, flour, egg, banana. Mash the bananas and add the eggs. Add sugar and mix. Add flour and mix. Cook in oil.",Very easy,10 min
